"","X1","ID","weights","ss","healthcare","school","welfare","env","poor","sci","tax_mill","red_ineq","min_wage","job_gov","sex_orig","sex","white","black","asian","hisp","born","class","educ","income","age","black_favors","blm","black_deserve","black_try","slave","vote_duty","int_camp","int_pol","int_med","lib_con_spec","party_id","strong_weak","ind","seven_point","trad","true","bend","lib_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","pol_pca1_scaled"
"1",1,1,0.842,3,2,3,1,3,3,1,3,NA,3,1,1,1,1,0,0,0,1,NA,9,13,29,5,15,5,5,1,NA,3,3,3,NA,2,1,NA,7,1,1,2,-1.4129400683429,0.251884377768792,-1.45452657245438,-0.0659588927214026,-1.41360080025801,-1.476646361378,-0.0667147343610921,0.251933668076226
"2",2,2,1.0133,2,3,3,1,3,2,1,3,2,3,4,1,1,1,0,0,0,1,2,13,17,26,3,50,4,3,4,NA,3,4,3,5,2,2,NA,6,2,3,4,0.629361639637829,0.934460143396336,-0.380535487041776,-0.152592247110244,0.629655947465013,-0.386322500363304,-0.154340844903523,0.934643004390579
"3",3,3,0.3672,3,3,3,1,2,3,1,1,3,3,1,1,1,1,0,0,0,1,NA,9,6,23,5,30,5,5,1,NA,1,2,3,NA,3,NA,3,3,1,1,1,-1.95264412074323,-0.430691387858752,-1.45452657245438,0.448224848810157,-1.95355723398726,-1.476646361378,0.453361184347281,-0.430775668238126
"4",4,4,0.3663,3,1,3,2,3,2,3,1,NA,4,3,1,1,1,0,0,0,1,NA,9,20,58,4,50,4,4,2,NA,2,3,3,NA,0,NA,1,NA,2,2,4,0.147914838047804,0.251884377768792,0.158517224819986,-0.611234622870276,0.147984007332762,0.160927883807026,-0.618238933593573,0.251933668076226
"5",5,5,0.6463,2,1,3,1,3,1,1,3,2,4,1,2,0,1,0,0,0,1,1,9,3,38,4,15,4,3,3,NA,2,2,2,4,3,NA,3,3,2,2,4,0.147914838047804,-1.14048049220168,-0.55747683212175,-1.78177682609376,0.147984007332762,-0.56595469020277,-1.80219471157107,-1.14070366854387
"6",6,6,0.6881,2,NA,1,1,2,1,1,2,NA,4,1,1,1,0,0,0,0,1,NA,14,1,60,4,0,3,NA,1,3,3,4,4,6,0,NA,1,NA,NA,NA,3,-0.0726352944212257,1.64424924773927,-0.55747683212175,-1.15721706895435,-0.0726692607997458,-0.56595469020277,-1.17047794721939,1.64457100469632
"7",7,7,4.6151,3,3,3,2,3,3,1,2,1,4,7,1,1,0,1,0,0,4,NA,5,22,58,5,NA,3,5,4,3,2,2,2,NA,1,1,NA,1,1,1,1,-1.95264412074323,-1.14048049220168,1.59050533870346,1.01794995611324,-1.95355723398726,1.61469303182662,1.02961493307398,-1.14070366854387
"8",8,8,0.9426,3,1,3,1,1,1,2,3,NA,4,1,2,0,1,0,0,0,1,NA,9,28,56,2,15,5,4,1,NA,3,3,3,5,3,NA,2,4,4,2,2,-0.93149326675287,0.251884377768792,-0.55747683212175,-1.78177682609376,-0.931928860125755,-0.56595469020277,-1.80219471157107,0.251933668076226
"9",9,9,1.0097,3,2,3,2,1,2,1,3,NA,4,1,1,1,1,0,0,0,1,NA,9,12,45,4,15,4,5,2,NA,3,3,3,4,3,NA,1,5,2,1,2,-1.4129400683429,0.251884377768792,-0.55747683212175,-0.0970508813387167,-1.41360080025801,-0.56595469020277,-0.0981630148852001,0.251933668076226
"10",10,10,0.6005,2,3,3,2,3,3,3,2,2,4,4,2,0,1,0,0,0,1,1,10,19,30,3,50,2,3,3,NA,3,3,2,3,3,NA,3,3,4,3,4,0.629361639637829,-0.457904726574139,0.516514253290854,1.01794995611324,0.629655947465013,0.524369170811924,1.02961493307398,-0.457994332229513
