"","X1","ID","weights","consq","branches","crit","facts","cong_courts","vote_duty","vote_2020","vote_house","yrs_sen","sen_diff","vote_2012","vote_sen","reg","ss","school","welfare","highway","poor","healthcare","tax_mill","ubi","red_ineq","min_wage","chance_life","job_gov","fair","reduce_extra","state","wy","ny","cong_dist","census_region","county","zip","sex","race","hisp","born","class","fs","educ","income","age","black","white","amind","asian","pi","black_favors","blm","black_deserve","black_try","slave","vote_2012_choice","dem_feel","rep_feel","lib_con_spec","lib_con_binary","int_camp","int_pol","int_med","party_reg","party_id","strong_weak","ind","seven_point","partisanship","lib_pca1","rr_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","rr_pca1_scaled","pol_pca1_scaled"
"1",1,NA,1.00573747444017,5,5,5,5,2,3,NA,NA,6,0,1,NA,1,2,1,1,2,1,3,1,2,3,3,1,1,1,7,40,0,0,4,3,NA,NA,1,3,1,0,3,0,6,21,46,0,0,1,0,0,5,0,5,5,5,2,0,85,6,NA,2,3,3,2,2,1,NA,7,NA,1.10393827257458,1.77425388478407,0.185568193548252,-0.467691069127882,-2.51141164552404,1.10435909199692,-0.475595053450497,-2.51285821733932,1.7747540452543,0.18559461265977
"2",2,NA,1.16347312190926,4,4,5,3,3,2,1,0,2,4,1,2,1,2,3,1,2,2,NA,3,2,2,4,3,3,2,4,16,0,0,2,4,NA,NA,2,4,0,1,2,0,3,13,37,0,0,0,1,0,3,70,4,2,2,5,0,50,4,1,1,2,2,5,5,NA,2,NA,NA,-0.472136422793751,-0.267832957872501,-1.17896071199305,-0.00211899099824636,-0.628577971830207,-0.472316400408118,-0.00215480196992291,-0.628940032418472,-0.267908459726717,-1.17912855915441
"3",3,NA,0.768681110109909,5,5,5,5,3,NA,1,1,6,0,1,1,1,3,3,3,3,3,3,3,1,3,4,5,4,1,6,51,0,0,2,3,NA,NA,2,1,0,1,3,1,2,17,40,0,1,0,0,0,1,80,1,1,5,1,60,0,2,NA,2,4,4,3,3,NA,3,3,60,1.10393827257458,-1.46859653925251,1.55009709908956,0.765570048809224,1.21871791328657,1.10435909199692,0.778508191235025,1.21941989417739,-1.46901053520988,1.55031778447395
"4",4,NA,0.521019534357875,5,4,4,4,2,NA,1,1,4,2,1,NA,1,2,3,2,3,2,NA,3,1,3,3,3,1,2,6,6,0,0,22,4,NA,NA,1,4,0,0,3,0,4,7,41,0,0,0,1,0,4,50,4,4,2,1,50,70,3,NA,1,2,2,2,2,2,NA,6,NA,0.323657901142649,0.963541278774928,-1.17896071199305,-0.467691069127882,-0.0437844755695834,0.323781278993005,-0.475595053450497,-0.0438096954049769,0.963812900138255,-1.17912855915441
"5",5,NA,0.965789166832749,5,5,5,1,1,NA,1,1,6,0,1,1,1,2,1,2,3,2,NA,2,3,2,1,3,1,4,4,8,0,0,4,4,NA,NA,1,5,0,1,1,0,8,22,72,0,0,0,0,1,5,0,5,3,4,1,20,70,5,NA,2,3,3,3,3,NA,2,4,NA,-0.813571204093173,0.932930623507509,0.185568193548252,-2.06109923917859,-1.24890925666788,-0.813881336074867,-2.09593183947647,-1.24962862775695,0.933193615756443,0.18559461265977
"6",6,NA,0.23470782633613,5,5,5,2,3,1,1,0,8,2,1,1,1,3,3,2,3,3,1,3,3,2,4,3,4,2,4,48,0,0,5,3,NA,NA,2,1,0,1,2,0,3,3,71,0,1,0,0,0,4,70,2,2,4,2,85,15,4,1,3,3,3,3,3,NA,3,3,70,-0.334193834926236,0.122218017498362,0.185568193548252,0.232281452663322,0.63392441702595,-0.33432122905692,0.236207011822937,0.634289557163895,0.122252470640399,0.18559461265977
"7",7,NA,0.440700134379997,4,4,3,3,1,NA,1,1,2,4,1,NA,1,3,3,3,3,3,NA,3,1,2,4,1,1,1,4,55,0,0,6,2,NA,NA,2,1,0,1,2,1,4,4,37,0,1,0,0,0,5,0,5,5,1,2,15,75,4,2,2,3,2,2,2,2,NA,6,NA,-1.07394242732373,1.77425388478407,-0.505168755763859,-0.470919878321382,1.21871791328657,-1.07435181238005,-0.478878429555642,1.21941989417739,1.7747540452543,-0.50524067600751
"8",8,NA,0.769430262817186,1,1,1,1,2,NA,NA,NA,4,2,0,NA,0,2,2,2,2,2,NA,3,1,2,4,5,1,1,4,28,0,0,4,3,NA,NA,2,1,0,1,2,1,2,3,45,0,1,0,0,0,5,NA,5,1,1,NA,50,100,NA,2,1,1,1,2,2,2,NA,6,NA,-4.48646304129094,0.0916073622309428,-2.54348961753436,-0.470919878321382,-0.646346866118733,-4.48817327349532,-0.478878429555642,-0.646719161580963,0.0916331862585876,-2.54385173096859
"9",9,NA,1.42151619894385,3,4,2,2,2,NA,NA,NA,6,0,1,NA,1,3,2,2,3,2,NA,1,2,2,4,3,NA,3,4,4,0,0,4,4,NA,NA,2,1,0,1,3,0,2,10,70,0,1,0,0,0,4,60,3,3,3,1,NA,NA,NA,2,2,1,2,3,3,NA,2,4,0,-2.47154275579011,0.542879648136645,-1.85275266822225,0.194281817778552,-0.646346866118733,-2.47248490375311,0.197565182681701,-0.646719161580963,0.543032685389327,-1.85301644230131
"10",10,NA,1.84221626331928,3,5,4,2,2,NA,1,0,6,0,0,NA,1,3,3,2,3,3,3,2,1,2,4,3,NA,5,4,6,0,0,40,4,NA,NA,1,3,1,0,3,1,4,11,43,0,0,1,0,0,5,50,5,3,4,NA,60,50,NA,1,2,3,3,1,1,2,NA,2,10,-1.86973675126013,0.932930623507509,0.185568193548252,0.194281817778552,0.63392441702595,-1.87044949178118,0.197565182681701,0.634289557163895,0.933193615756443,0.18559461265977
